,training_loss,testing_loss
229,0.3313269,0.35443115
230,0.33128223,0.35438126
231,0.33121306,0.35432705
232,0.33118778,0.35428044
233,0.33111277,0.35422927
234,0.3310829,0.35417765
235,0.3310461,0.35412678
236,0.331006,0.35408068
237,0.3309718,0.35403183
238,0.330913,0.35398456
239,0.33088544,0.3539401
240,0.33081985,0.35389405
241,0.3308,0.35384476
242,0.33074617,0.35380232
243,0.3307076,0.35375953
244,0.3306576,0.3537147
245,0.33062106,0.35366878
246,0.33058184,0.35362932
247,0.33051565,0.35358283
248,0.33050597,0.35354564
249,0.3304687,0.35350093
250,0.33041325,0.35345936
251,0.3303383,0.3534145
252,0.3303447,0.35337782
253,0.3303055,0.35333243
254,0.3303054,0.35329556
255,0.3302348,0.35325438
256,0.33021933,0.35321808
257,0.33012733,0.35317498
258,0.33010238,0.35313654
259,0.330051,0.35309583
260,0.33002624,0.35305417
261,0.32996812,0.35302067
262,0.32992595,0.35298088
263,0.32986617,0.3529437
264,0.3298482,0.35290673
265,0.32978052,0.35286874
266,0.32972765,0.35283035
267,0.3297093,0.35279956
268,0.32966614,0.3527638
269,0.32964918,0.35272878
270,0.32959983,0.35269153
271,0.3295636,0.35264942
272,0.32955772,0.3526138
273,0.32950777,0.35257903
274,0.32951507,0.35254994
275,0.32946354,0.3525131
276,0.32946262,0.3524821
277,0.32941252,0.3524472
278,0.32938224,0.35241356
279,0.32935816,0.35237756
280,0.32932237,0.3523455
281,0.32930636,0.35231364
282,0.32927585,0.35228077
283,0.32929748,0.3522461
284,0.32924822,0.35221136
285,0.32920793,0.3521774
286,0.329231,0.3521472
287,0.32917723,0.35211158
288,0.32918254,0.35207832
289,0.32915515,0.3520417
290,0.32914948,0.35200566
291,0.32911688,0.3519728
292,0.32910824,0.35194266
293,0.32909706,0.35191226
294,0.32907966,0.35187888
295,0.32909244,0.35184783
296,0.3290444,0.35181212
297,0.32904673,0.3517842
298,0.32902843,0.3517468
299,0.3289951,0.3517199
300,0.3289866,0.351688
301,0.32895797,0.35165414
302,0.32892928,0.3516213
303,0.32890573,0.35158825
304,0.32890353,0.35155928
305,0.3288927,0.35153112
306,0.3288475,0.3515033
307,0.32884347,0.35147437
308,0.32880586,0.35144687
309,0.32881153,0.35142007
310,0.32876393,0.3513889
311,0.32876366,0.35136038
312,0.32874772,0.35133052
313,0.32874066,0.3513002
314,0.32868022,0.3512723
315,0.32865158,0.35124698
316,0.32865304,0.35121873
317,0.32861334,0.35118926
318,0.32862765,0.35116428
319,0.32854795,0.35113987
320,0.3285561,0.35110822
321,0.3285219,0.35108367
322,0.32849973,0.35105452
323,0.3284858,0.35102937
324,0.32841998,0.35100263
325,0.3284158,0.3509773
326,0.32834768,0.3509527
327,0.32831484,0.35092783
328,0.3282984,0.3508973
329,0.3282635,0.35087705
330,0.32825512,0.35084802
331,0.32823363,0.350824
332,0.32820794,0.35079545
333,0.32816786,0.35077393
334,0.32819402,0.35074157
335,0.3281213,0.3507166
336,0.32814178,0.35068887
337,0.3281126,0.35066703
338,0.32813376,0.3506389
339,0.32809582,0.35061252
340,0.3280826,0.35058668
341,0.32807672,0.3505645
342,0.32806,0.3505368
343,0.32807368,0.3505114
344,0.32804227,0.35048246
345,0.3280188,0.3504589
346,0.3280151,0.3504347
347,0.32796952,0.35041052
348,0.32795572,0.3503807
