,training_loss,testing_loss,learning_rate
154,0.020106087,0.020066686,0.001
155,0.022001762,0.021518087,0.001
156,0.022772206,0.02226298,0.001
157,0.02148722,0.021059586,0.001
158,0.020623852,0.020298246,0.001
159,0.020465534,0.020113705,0.001
160,0.020905608,0.020494519,0.001
161,0.022554552,0.022004658,0.001
162,0.024635188,0.023958955,0.001
163,0.021573517,0.021196576,0.001
164,0.018984335,0.019068474,0.001
165,0.01886319,0.019010257,0.001
166,0.019128073,0.01901481,0.001
167,0.020056106,0.019713257,0.001
168,0.024810173,0.024107607,0.001
169,0.02481922,0.024235453,0.001
170,0.018567,0.019167054,0.001
171,0.018674823,0.0190914,0.001
172,0.019361533,0.019080333,0.001
173,0.021227363,0.020743057,0.001
174,0.021351023,0.020914638,0.001
175,0.02002797,0.019680316,0.001
176,0.019320156,0.019087892,0.001
177,0.01929679,0.019047588,0.001
178,0.019853167,0.019565456,0.001
179,0.021521695,0.021084007,0.001
180,0.023153648,0.022717047,0.001
181,0.01989349,0.019700164,0.001
182,0.017715538,0.01794923,0.001
183,0.017671606,0.017877478,0.001
184,0.017867766,0.01786979,0.001
185,0.018644009,0.018398374,0.001
186,0.022780532,0.022265261,0.001
187,0.027321476,0.02684913,0.001
188,0.017954243,0.018808577,0.001
189,0.017661763,0.018162116,0.001
190,0.019446613,0.019157074,0.001
191,0.018711226,0.018580584,0.001
192,0.017528709,0.017601818,0.001
193,0.017792137,0.01769234,0.001
194,0.018996852,0.01871671,0.001
195,0.020979064,0.020592542,0.001
196,0.021867266,0.021542735,0.001
197,0.018311374,0.01824927,0.001
198,0.016952489,0.017144796,0.001
199,0.017009044,0.017131856,0.001
200,0.017662503,0.017560594,0.001
201,0.019764544,0.019433154,0.001
202,0.025741551,0.025260855,0.001
203,0.019320758,0.019222831,0.001
204,0.017280502,0.018093683,0.001
205,0.016774395,0.017066052,0.001
206,0.018383425,0.018174201,0.001
207,0.020012094,0.019716587,0.001
208,0.019480161,0.019205553,0.001
209,0.01827789,0.018115614,0.001
210,0.017463975,0.017400349,0.001
211,0.017545704,0.0174745,0.001
212,0.017798495,0.017672226,0.001
213,0.01927752,0.019023687,0.001
214,0.022112373,0.02178763,0.001
215,0.020388171,0.020207152,0.001
216,0.016140237,0.016456854,0.001
217,0.016080664,0.016544601,0.001
218,0.016299106,0.0164602,0.001
219,0.01781074,0.017675411,0.001
220,0.021926798,0.021594716,0.001
221,0.022601929,0.022344222,0.001
222,0.015858775,0.01627904,0.001
223,0.016041817,0.01661972,0.001
224,0.01625642,0.016407402,0.001
225,0.018116793,0.017963123,0.001
226,0.020505864,0.020274723,0.001
227,0.01991257,0.01971128,0.001
228,0.01658783,0.016702192,0.001
229,0.015797729,0.016081516,0.001
230,0.01596646,0.01615222,0.001
231,0.016932167,0.016918793,0.001
232,0.019815486,0.019584844,0.001
233,0.023852117,0.023591667,0.001
234,0.01664491,0.016817015,0.001
235,0.015836108,0.01658351,0.001
236,0.015606611,0.015997197,0.001
237,0.016951276,0.016905982,0.001
238,0.019154523,0.019000182,0.001
239,0.020147596,0.019929985,0.001
240,0.0175688,0.017544845,0.001
241,0.015739953,0.015952604,0.001
242,0.015448106,0.015732965,0.001
243,0.015695026,0.015864095,0.001
244,0.016528457,0.016533852,0.001
245,0.019634502,0.019444363,0.001
246,0.025019282,0.024844961,0.001
247,0.015613241,0.015965141,0.001
248,0.016186966,0.017161533,0.001
249,0.0155749805,0.015819993,0.001
250,0.017426083,0.01734989,0.001
251,0.01735997,0.01733878,0.001
252,0.016416788,0.016418554,0.001
253,0.016083138,0.01615618,0.001
254,0.016294058,0.016335469,0.001
255,0.016600976,0.016609317,0.001
256,0.01777859,0.017714307,0.001
257,0.020089963,0.01994971,0.001
258,0.019360809,0.019310249,0.001
259,0.01560405,0.015859442,0.001
260,0.014789177,0.015328844,0.001
261,0.01481919,0.015251576,0.001
262,0.015109109,0.015302542,0.001
263,0.016339947,0.016290918,0.001
264,0.020809384,0.02056573,0.001
265,0.023751786,0.023605356,0.001
266,0.014932966,0.015812429,0.001
267,0.015135112,0.015902024,0.001
268,0.016113525,0.016140046,0.001
269,0.016479617,0.016473342,0.001
270,0.015651643,0.01577511,0.001
271,0.015453085,0.015554456,0.001
272,0.015820252,0.015869467,0.001
273,0.016537568,0.016534846,0.001
274,0.017691901,0.017636677,0.001
275,0.01883489,0.018772762,0.001
276,0.017799992,0.017833002,0.001
277,0.015571093,0.015774606,0.001
278,0.014613048,0.01497199,0.001
279,0.014502889,0.014877024,0.001
280,0.014646649,0.014920874,0.001
281,0.014995173,0.015167518,0.001
282,0.016507035,0.016524393,0.001
283,0.025274947,0.025149202,0.001
284,0.016764145,0.01704191,0.001
285,0.01672138,0.018155191,0.001
286,0.016181294,0.016378798,0.001
287,0.015102708,0.015360689,0.001
288,0.014078517,0.014760815,0.001
289,0.014360513,0.014703707,0.001
290,0.015911052,0.015971275,0.001
291,0.017857257,0.017805126,0.001
292,0.01759042,0.017606836,0.001
293,0.015221834,0.015459061,0.001
294,0.014275717,0.0146764405,0.001
295,0.014309183,0.014674779,0.001
296,0.014497063,0.01479767,0.001
297,0.015361353,0.015505825,0.001
298,0.018760052,0.018723825,0.001
299,0.024413848,0.024300436,0.001
300,0.014144928,0.0147060985,0.001
301,0.014867591,0.015992608,0.001
302,0.014691752,0.015011539,0.001
303,0.01617093,0.016243368,0.001
304,0.015524113,0.015702657,0.001
305,0.014931972,0.015141778,0.001
306,0.015087718,0.015274613,0.001
307,0.015877753,0.015993632,0.001
308,0.017685043,0.01773722,0.001
309,0.018377868,0.0184273,0.001
310,0.015680995,0.015924975,0.001
311,0.013880826,0.014377734,0.001
312,0.01375378,0.014273025,0.001
313,0.013977286,0.014357496,0.001
314,0.014357833,0.014642562,0.001
