,training_loss,testing_loss,learning_rate
0,0.86711115,0.8738619,0.001
1,0.72867703,0.7215822,0.001
2,0.693431,0.68719274,0.001
3,0.646468,0.64019334,0.001
4,0.5903447,0.59048265,0.001
5,0.5295795,0.5366807,0.001
6,0.47044787,0.48205906,0.001
7,0.42736587,0.44215173,0.001
8,0.39962432,0.4193891,0.001
9,0.37586838,0.39701104,0.001
10,0.3565398,0.37906867,0.001
11,0.34020552,0.36269242,0.001
12,0.32726008,0.34830132,0.001
13,0.31572255,0.33585656,0.001
14,0.29934296,0.3195054,0.001
15,0.2919764,0.31037578,0.001
16,0.31551707,0.3318722,0.001
17,0.2610015,0.2784585,0.001
18,0.2711096,0.2855283,0.001
19,0.2395337,0.25457942,0.001
20,0.29389006,0.30450475,0.001
21,0.22708546,0.24010853,0.001
22,0.22295794,0.2350911,0.001
23,0.21295568,0.22569814,0.001
24,0.21724236,0.22771354,0.001
25,0.20515905,0.21719803,0.001
26,0.20918764,0.21909085,0.001
27,0.19785404,0.20848265,0.001
28,0.19745652,0.20724472,0.001
29,0.19017254,0.20083074,0.001
30,0.19201739,0.20168433,0.001
31,0.18430932,0.19569378,0.001
32,0.18676436,0.1966899,0.001
33,0.17880684,0.19058278,0.001
34,0.17898957,0.18951075,0.001
35,0.1740237,0.18625626,0.001
36,0.17134015,0.18351741,0.001
37,0.16958578,0.18084936,0.001
38,0.16614124,0.17862317,0.001
39,0.16381764,0.17593153,0.001
40,0.16113871,0.17418924,0.001
41,0.15836471,0.1716309,0.001
42,0.15545441,0.16947548,0.001
43,0.15282129,0.16715561,0.001
44,0.15040134,0.16562094,0.001
45,0.14827214,0.16399316,0.001
46,0.14567064,0.16189076,0.001
47,0.14335816,0.16003753,0.001
48,0.1410623,0.1579494,0.001
49,0.14035675,0.15791446,0.001
50,0.1372266,0.15442514,0.001
51,0.13644266,0.15388045,0.001
52,0.13308649,0.15006182,0.001
53,0.13359454,0.15144144,0.001
54,0.13003282,0.14604726,0.001
55,0.12765996,0.14414406,0.001
56,0.12832557,0.14624263,0.001
57,0.12477529,0.14089444,0.001
58,0.12288477,0.13992296,0.001
59,0.1215785,0.1389877,0.001
60,0.12243979,0.14025518,0.001
61,0.1203174,0.13776225,0.001
62,0.12012285,0.13774472,0.001
63,0.11665565,0.13392593,0.001
64,0.11766208,0.1352962,0.001
65,0.11278571,0.12978084,0.001
66,0.11613572,0.13353775,0.001
67,0.10984967,0.12654842,0.001
68,0.11482155,0.13225514,0.001
69,0.10653197,0.12282299,0.001
70,0.11178172,0.12899193,0.001
71,0.10460156,0.12072298,0.001
72,0.109783284,0.12682575,0.001
73,0.102781795,0.11877783,0.001
74,0.109244205,0.1260436,0.001
75,0.102081016,0.117762536,0.001
76,0.10705794,0.1235295,0.001
77,0.10034799,0.115758404,0.001
78,0.10587337,0.122142784,0.001
79,0.09841641,0.113667585,0.001
80,0.10589014,0.12188795,0.001
81,0.09830249,0.11333502,0.001
82,0.09767166,0.11298539,0.001
83,0.09631881,0.111387886,0.001
84,0.09546185,0.11031236,0.001
85,0.09643304,0.11133894,0.001
86,0.09386159,0.10855239,0.001
87,0.09769566,0.11259023,0.001
88,0.092203416,0.106568106,0.001
89,0.09969626,0.11448667,0.001
90,0.09130917,0.10559705,0.001
91,0.09865071,0.11340243,0.001
92,0.090110525,0.10442518,0.001
93,0.09603325,0.11058002,0.001
94,0.08939594,0.10364724,0.001
95,0.09159146,0.10583151,0.001
96,0.091272436,0.105277546,0.001
97,0.09508578,0.10900528,0.001
98,0.0876977,0.101561815,0.001
99,0.09205171,0.10579116,0.001
100,0.086841166,0.10069313,0.001
101,0.08729005,0.100987576,0.001
102,0.08757981,0.10123679,0.001
103,0.08692408,0.10050745,0.001
104,0.086616136,0.1001697,0.001
105,0.085973196,0.09950124,0.001
106,0.08716408,0.10040999,0.001
107,0.085923344,0.09888839,0.001
108,0.085708424,0.09842389,0.001
109,0.087205276,0.09977991,0.001
110,0.085098326,0.09762843,0.001
111,0.086170286,0.09888367,0.001
112,0.08515496,0.097414225,0.001
113,0.08221392,0.09399348,0.001
114,0.08526112,0.09660162,0.001
115,0.09668902,0.10985119,0.001
116,0.082063876,0.09414009,0.001
117,0.08015286,0.09126991,0.001
118,0.07989329,0.09103879,0.001
119,0.08144959,0.091849074,0.001
120,0.078993626,0.08956702,0.001
