,training_loss,testing_loss,learning_rate
0,0.92898905,0.84976304,0.001
1,0.7582898,0.69105244,0.001
2,0.71913755,0.6497488,0.001
3,0.6704774,0.60687107,0.001
4,0.6024096,0.5485532,0.001
5,0.5393108,0.50108206,0.001
6,0.5026196,0.46476713,0.001
7,0.44296148,0.40882108,0.001
8,0.365784,0.3439492,0.001
9,0.31526357,0.30273256,0.001
10,0.2718353,0.2644627,0.001
11,0.25444368,0.24731374,0.001
12,0.23253705,0.22520852,0.001
13,0.21925604,0.21247825,0.001
14,0.20876908,0.20124818,0.001
15,0.19643886,0.18885098,0.001
16,0.18008897,0.1741127,0.001
17,0.1864437,0.18151784,0.001
18,0.18043023,0.17226268,0.001
19,0.16314797,0.15783568,0.001
20,0.17549898,0.16788279,0.001
21,0.15278044,0.14864118,0.001
22,0.15484083,0.14784133,0.001
23,0.13994192,0.13598573,0.001
24,0.13549998,0.1306012,0.001
25,0.1312544,0.1268419,0.001
26,0.14374715,0.13678694,0.001
27,0.12549943,0.12124941,0.001
28,0.15051723,0.14280388,0.001
29,0.121925965,0.11798129,0.001
30,0.121358365,0.117642105,0.001
31,0.1200914,0.116659395,0.001
32,0.11639157,0.113707855,0.001
33,0.114729814,0.11148256,0.001
34,0.11312498,0.110415414,0.001
35,0.109477304,0.1075651,0.001
36,0.11114339,0.10911971,0.001
37,0.10698543,0.1060854,0.001
38,0.10451704,0.10352373,0.001
39,0.10997284,0.10891329,0.001
40,0.107750595,0.10707617,0.001
41,0.10517356,0.1048297,0.001
42,0.104507826,0.10427778,0.001
43,0.10292021,0.102940105,0.001
44,0.10311584,0.10303139,0.001
45,0.09813955,0.09848254,0.001
46,0.10061915,0.100729205,0.001
47,0.10107417,0.101477034,0.001
48,0.10257061,0.10254845,0.001
49,0.09790121,0.09803828,0.001
50,0.0964158,0.09707158,0.001
51,0.10314709,0.10308387,0.001
52,0.09303631,0.09391462,0.001
53,0.09741792,0.097538345,0.001
54,0.09394171,0.09510507,0.001
55,0.10234396,0.102246284,0.001
56,0.09270999,0.09338399,0.001
57,0.090266734,0.09114998,0.001
58,0.0895528,0.09035761,0.001
59,0.10206978,0.10172826,0.001
60,0.095467575,0.09606942,0.001
61,0.08788288,0.089260615,0.001
62,0.09691557,0.09727246,0.001
63,0.08867565,0.089673236,0.001
64,0.08640242,0.08732849,0.001
65,0.09033971,0.09076177,0.001
66,0.08615303,0.087552406,0.001
67,0.09694277,0.09705389,0.001
68,0.08621704,0.08727672,0.001
69,0.093375,0.0937887,0.001
70,0.084032334,0.0855584,0.001
71,0.097694084,0.09787483,0.001
72,0.08527732,0.08632169,0.001
73,0.0927187,0.09339475,0.001
74,0.08168488,0.08324144,0.001
75,0.08625204,0.08708233,0.001
76,0.08232418,0.08322596,0.001
77,0.080552906,0.082184106,0.001
78,0.0854487,0.08645365,0.001
79,0.08055867,0.08221705,0.001
80,0.09354089,0.094372995,0.001
81,0.08220021,0.08382326,0.001
82,0.08520836,0.08651119,0.001
83,0.08218361,0.083822645,0.001
84,0.08020841,0.08161335,0.001
85,0.07734575,0.07940818,0.001
86,0.07962039,0.081558526,0.001
87,0.07793083,0.079435945,0.001
88,0.08038562,0.08217776,0.001
89,0.07712016,0.07867893,0.001
90,0.076493286,0.07821204,0.001
91,0.078619644,0.080082655,0.001
92,0.075075954,0.07728507,0.001
93,0.0787044,0.080261186,0.001
94,0.07530138,0.07749032,0.001
95,0.076889016,0.078779235,0.001
96,0.07408557,0.07660186,0.001
97,0.078996524,0.08074089,0.001
98,0.073987156,0.07632037,0.001
99,0.074462496,0.076729864,0.001
100,0.07610474,0.0784393,0.001
101,0.074329905,0.07684198,0.001
102,0.07472984,0.077292256,0.001
103,0.074443325,0.07713697,0.001
104,0.07400134,0.07675429,0.001
105,0.073566094,0.07636084,0.001
106,0.0730137,0.07588986,0.001
107,0.07312616,0.07609077,0.001
108,0.07195624,0.07507553,0.001
109,0.07285876,0.07580012,0.001
110,0.07109781,0.07426367,0.001
111,0.07167991,0.0746222,0.001
112,0.070642166,0.07363597,0.001
113,0.072579734,0.07527449,0.001
114,0.06919832,0.07229234,0.001
115,0.06913174,0.07222586,0.001
116,0.07276337,0.0753595,0.001
117,0.07076906,0.07434701,0.001
118,0.06988416,0.072941475,0.001
119,0.069309406,0.07260306,0.001
120,0.069991566,0.07289721,0.001
121,0.07600589,0.07890681,0.001
122,0.06767801,0.070996605,0.001
123,0.06856095,0.07154298,0.001
124,0.07354887,0.07658487,0.001
125,0.0670298,0.070443414,0.001
126,0.06899537,0.07188063,0.001
127,0.07392156,0.076708615,0.001
128,0.06731387,0.07092489,0.001
129,0.06895183,0.071755774,0.001
130,0.072449274,0.0751203,0.001
131,0.06754141,0.07129972,0.001
132,0.06764082,0.0706271,0.001
133,0.06675975,0.06976031,0.001
134,0.0659369,0.06902523,0.001
135,0.067972235,0.0708411,0.001
136,0.065904126,0.06897105,0.001
137,0.06784145,0.070648804,0.001
138,0.06599863,0.06896462,0.001
139,0.067104794,0.06985707,0.001
140,0.06670957,0.06960909,0.001
141,0.06637206,0.06919186,0.001
142,0.06644626,0.069253445,0.001
143,0.06634102,0.069140084,0.001
144,0.06597032,0.06883521,0.001
145,0.065712325,0.06838428,0.001
146,0.06594118,0.068546355,0.001
147,0.06592788,0.068501465,0.001
148,0.06549737,0.068047516,0.001
149,0.06562147,0.06802035,0.001
150,0.06502784,0.06738226,0.001
151,0.064729996,0.067023285,0.001
152,0.06461912,0.066901654,0.001
153,0.06444827,0.0666918,0.001
154,0.06392776,0.06614088,0.001
155,0.0639286,0.066126935,0.001
156,0.06350969,0.06567485,0.001
157,0.063467726,0.06559983,0.001
158,0.06303474,0.06517198,0.001
159,0.06313035,0.06517082,0.001
160,0.06313557,0.065144576,0.001
161,0.06252931,0.06459643,0.001
162,0.062168997,0.06427052,0.001
163,0.06255725,0.064481646,0.001
164,0.062286448,0.06421122,0.001
165,0.061978225,0.06385903,0.001
166,0.062340368,0.06416585,0.001
167,0.061763637,0.063652314,0.001
168,0.061514772,0.063429445,0.001
169,0.06208319,0.063736744,0.001
170,0.061435755,0.06328289,0.001
171,0.061589997,0.06329806,0.001
172,0.061781872,0.0633797,0.001
173,0.06203718,0.0634806,0.001
174,0.06359685,0.065543346,0.001
175,0.061824895,0.063451864,0.001
176,0.06154628,0.06305438,0.001
177,0.06171558,0.063101105,0.001
178,0.06218216,0.063444614,0.001
179,0.061821036,0.063265055,0.001
180,0.06176256,0.06313878,0.001
181,0.06115344,0.06269979,0.001
182,0.06074986,0.062402878,0.001
183,0.06069593,0.06233686,0.001
184,0.06088724,0.062355805,0.001
185,0.061006457,0.062503606,0.001
186,0.06042185,0.06210146,0.001
187,0.05986832,0.06184006,0.001
188,0.060449846,0.06246552,0.001
189,0.06038348,0.062173385,0.001
190,0.060133796,0.061812144,0.001
191,0.06007371,0.061863787,0.001
192,0.059667084,0.06148734,0.001
193,0.05976058,0.061556835,0.001
194,0.060647756,0.062375057,0.001
195,0.060194187,0.061847307,0.001
196,0.05976518,0.061391216,0.001
197,0.05991312,0.06156856,0.001
198,0.059740536,0.06129833,0.001
199,0.059483107,0.06111061,0.001
200,0.059514806,0.06110268,0.001
201,0.059311997,0.06094436,0.001
202,0.05912108,0.06075218,0.001
203,0.059114035,0.060869515,0.001
204,0.059115473,0.060931746,0.001
205,0.05884445,0.060654093,0.001
206,0.058997106,0.06088073,0.001
207,0.05881959,0.060731288,0.001
208,0.05850726,0.060375977,0.001
209,0.058969453,0.06088372,0.001
210,0.05847474,0.06038,0.001
211,0.058197614,0.06002687,0.001
212,0.058798466,0.060716998,0.001
213,0.05805785,0.060204405,0.001
214,0.05738623,0.059574883,0.001
215,0.057547133,0.059644908,0.001
216,0.05778796,0.059903268,0.001
