,Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
72,0.2,5e-07,0.4,5,1.53e-06,0.000394792,1
13282,0.44,5e-07,0.8,5,1.51e-06,1.92e-05,1
9308,0.6,5e-07,0.64,5,1.46e-06,4.46e-05,1
17693,0.36,7e-07,0.48,5,1.49e-06,3.6e-05,1
9752,0.2,5e-07,0.72,5,1.38e-06,0.00028011599999999996,1
16075,0.52,7e-07,0.4,5,1.52e-06,0.000279479,1
24008,0.2,7e-07,0.72,5,1.68e-06,2e-05,1
9329,0.6,5e-07,0.64,5,1.42e-06,0.00023679099999999998,1
10947,0.44,5e-07,0.72,5,1.39e-06,0.000306357,1
18933,0.6,7e-07,0.48,5,1.41e-06,0.15403499999999998,1
1703,0.52,5e-07,0.4,5,1.47e-06,3.15e-05,1
4531,0.6,5e-07,0.48,5,1.41e-06,0.00034749199999999997,1
1234,0.44,5e-07,0.4,5,1.62e-06,0.00010025399999999999,1
9276,0.6,5e-07,0.64,5,1.52e-06,0.000822728,1
17716,0.36,7e-07,0.48,5,1.44e-06,0.000475715,1
23212,0.52,7e-07,0.64,5,1.67e-06,-5.479999999999999e-05,1
5232,0.28,5e-07,0.56,5,1.62e-06,8.11e-06,1
9244,0.6,5e-07,0.64,5,1.59e-06,2.59e-05,1
22007,0.28,7e-07,0.64,5,1.68e-06,3.1e-05,1
20950,0.52,7e-07,0.56,5,1.38e-06,0.0293939,1
1780,0.52,5e-07,0.4,5,1.33e-06,0.000456509,1
100,0.2,5e-07,0.4,5,1.47e-06,2.0399999999999998e-05,1
10143,0.28,5e-07,0.72,5,1.39e-06,0.00041093,1
21618,0.2,7e-07,0.64,5,1.65e-06,0.00010792700000000001,1
5795,0.36,5e-07,0.56,5,1.31e-06,0.000743187,1
13634,0.52,5e-07,0.8,5,1.62e-06,0.000139865,1
9765,0.2,5e-07,0.72,5,1.35e-06,0.000612183,1
22908,0.44,7e-07,0.64,5,1.46e-06,0.09205210000000001,1
14833,0.28,7e-07,0.4,5,1.62e-06,0.000320393,1
481,0.28,5e-07,0.4,5,1.51e-06,0.000677321,1
12045,0.2,5e-07,0.8,5,1.59e-06,9.68e-05,1
15759,0.44,7e-07,0.4,5,1.36e-06,0.266354,1
10812,0.44,5e-07,0.72,5,1.67e-06,-1.9699999999999998e-05,1
7311,0.2,5e-07,0.64,5,1.45e-06,7.82e-05,1
21753,0.2,7e-07,0.64,5,1.37e-06,0.031114099999999995,1
929,0.36,5e-07,0.4,5,1.42e-06,0.000221959,1
5242,0.28,5e-07,0.56,5,1.6e-06,0.00019056,1
10983,0.44,5e-07,0.72,5,1.33e-06,0.000364426,1
12439,0.28,5e-07,0.8,5,1.6e-06,-2.1e-05,1
17751,0.36,7e-07,0.48,5,1.38e-06,0.22020399999999998,1
7704,0.28,5e-07,0.64,5,1.46e-06,0.000130231,1
6553,0.52,5e-07,0.56,5,1.37e-06,0.000249472,1
6989,0.6,5e-07,0.56,5,1.32e-06,0.00199864,1
8984,0.52,5e-07,0.64,5,1.32e-06,0.000711907,1
24061,0.2,7e-07,0.72,5,1.55e-06,0.000118439,1
3727,0.44,5e-07,0.48,5,1.42e-06,3.98e-05,1
18823,0.6,7e-07,0.48,5,1.64e-06,-7.38e-05,1
17346,0.28,7e-07,0.48,5,1.39e-06,0.11981800000000001,1
4002,0.52,5e-07,0.48,5,1.69e-06,-3.16e-05,1
21371,0.6,7e-07,0.56,5,1.34e-06,0.000954109,1
4939,0.2,5e-07,0.56,5,1.4e-06,9.719999999999999e-05,1
1280,0.44,5e-07,0.4,5,1.51e-06,1.4999999999999999e-05,1
2120,0.6,5e-07,0.4,5,1.43e-06,2.95e-06,1
18084,0.44,7e-07,0.48,5,1.5e-06,0.000328432,1
19274,0.2,7e-07,0.56,5,1.53e-06,0.000455997,1
13625,0.52,5e-07,0.8,5,1.64e-06,-5.3700000000000004e-05,1
538,0.28,5e-07,0.4,5,1.4e-06,0.000357503,1
15753,0.44,7e-07,0.4,5,1.37e-06,0.175591,1
17357,0.28,7e-07,0.48,5,1.37e-06,0.152869,1
22130,0.28,7e-07,0.64,5,1.42e-06,0.11772,1
22926,0.44,7e-07,0.64,5,1.42e-06,0.142368,1
14959,0.28,7e-07,0.4,5,1.36e-06,0.07470460000000001,1
12538,0.28,5e-07,0.8,5,1.4e-06,0.000206291,1
6429,0.52,5e-07,0.56,5,1.63e-06,0.00012814399999999998,1
11725,0.6,5e-07,0.72,5,1.42e-06,0.000113135,1
7614,0.28,5e-07,0.64,5,1.66e-06,0.000250405,1
20544,0.44,7e-07,0.56,5,1.39e-06,0.0783154,1
10024,0.28,5e-07,0.72,5,1.64e-06,3.8e-05,1
14184,0.6,5e-07,0.8,5,1.32e-06,0.00124174,1
3620,0.44,5e-07,0.48,5,1.65e-06,7.329999999999999e-05,1
18432,0.52,7e-07,0.48,5,1.62e-06,1.9600000000000002e-05,1
9776,0.2,5e-07,0.72,5,1.34e-06,0.0006311369999999999,1
2118,0.6,5e-07,0.4,5,1.44e-06,1.1900000000000001e-05,1
6129,0.44,5e-07,0.56,5,1.42e-06,0.00018188700000000002,1
43,0.2,5e-07,0.4,5,1.59e-06,0.00018135099999999998,1
19772,0.28,7e-07,0.56,5,1.34e-06,0.034994199999999996,1
22972,0.44,7e-07,0.64,5,1.34e-06,0.000423641,1
12021,0.2,5e-07,0.8,5,1.65e-06,0.000201798,1
10990,0.44,5e-07,0.72,5,1.31e-06,0.00028324299999999997,1
4844,0.2,5e-07,0.56,5,1.59e-06,4.51e-05,1
23692,0.6,7e-07,0.64,5,1.49e-06,0.058220400000000005,1
5677,0.36,5e-07,0.56,5,1.52e-06,0.00076248,1
4822,0.2,5e-07,0.56,5,1.64e-06,0.000185311,1
16195,0.52,7e-07,0.4,5,1.31e-06,0.0008870869999999999,1
15629,0.44,7e-07,0.4,5,1.63e-06,0.000283178,1
5679,0.36,5e-07,0.56,5,1.51e-06,0.00077925,1
2975,0.28,5e-07,0.48,5,1.34e-06,8.420000000000001e-05,1
8977,0.52,5e-07,0.64,5,1.33e-06,0.00098875,1
21364,0.6,7e-07,0.56,5,1.36e-06,0.00599017,1
7799,0.28,5e-07,0.64,5,1.3e-06,0.000381078,1
4054,0.52,5e-07,0.48,5,1.57e-06,0.000190824,1
6825,0.6,5e-07,0.56,5,1.64e-06,0.000227519,1
22524,0.36,7e-07,0.64,5,1.43e-06,0.146815,1
14066,0.6,5e-07,0.8,5,1.54e-06,0.000722078,1
14015,0.6,5e-07,0.8,5,1.66e-06,5.520000000000001e-05,1
21262,0.6,7e-07,0.56,5,1.55e-06,7.48e-05,1
19739,0.28,7e-07,0.56,5,1.4e-06,0.126027,1
8076,0.36,5e-07,0.64,5,1.52e-06,0.000171394,1
19388,0.2,7e-07,0.56,5,1.32e-06,0.0330788,1
12007,0.2,5e-07,0.8,5,1.68e-06,-7.91e-05,1
129,0.2,5e-07,0.4,5,1.42e-06,0.000121755,1
12463,0.28,5e-07,0.8,5,1.55e-06,0.000377759,1
9212,0.6,5e-07,0.64,5,1.67e-06,-4.7799999999999996e-05,1
16194,0.52,7e-07,0.4,5,1.31e-06,0.00153273,1
24059,0.2,7e-07,0.72,5,1.56e-06,0.000327038,1
5237,0.28,5e-07,0.56,5,1.61e-06,-2.8300000000000003e-05,1
11229,0.52,5e-07,0.72,5,1.63e-06,0.000116666,1
9399,0.6,5e-07,0.64,5,1.3e-06,0.000157916,1
4919,0.2,5e-07,0.56,5,1.44e-06,0.000207315,1
9275,0.6,5e-07,0.64,5,1.52e-06,0.000798252,1
22198,0.28,7e-07,0.64,5,1.3e-06,0.00025760000000000003,1
5380,0.28,5e-07,0.56,5,1.33e-06,0.000262916,1
4481,0.6,5e-07,0.48,5,1.51e-06,0.000179811,1
5610,0.36,5e-07,0.56,5,1.67e-06,4.7600000000000005e-05,1
10188,0.28,5e-07,0.72,5,1.32e-06,0.000500198,1
13746,0.52,5e-07,0.8,5,1.39e-06,0.000626701,1
15704,0.44,7e-07,0.4,5,1.46e-06,0.00020082099999999998,1
10963,0.44,5e-07,0.72,5,1.36e-06,0.00038101599999999997,1
7692,0.28,5e-07,0.64,5,1.49e-06,0.000186977,1
14813,0.28,7e-07,0.4,5,1.67e-06,-1.31e-05,1
12926,0.36,5e-07,0.8,5,1.42e-06,0.00014911,1
13272,0.44,5e-07,0.8,5,1.53e-06,0.000613802,1
24064,0.2,7e-07,0.72,5,1.55e-06,2.18e-05,1
6988,0.6,5e-07,0.56,5,1.32e-06,0.00220169,1
24006,0.2,7e-07,0.72,5,1.68e-06,1.34e-05,1
21231,0.6,7e-07,0.56,5,1.62e-06,0.0005012840000000001,1
19238,0.2,7e-07,0.56,5,1.61e-06,-1.28e-05,1
25358,0.44,7e-07,0.72,5,1.37e-06,0.000581409,1
19276,0.2,7e-07,0.56,5,1.52e-06,0.000509551,1
12812,0.36,5e-07,0.8,5,1.67e-06,-3.21e-05,1
10573,0.36,5e-07,0.72,5,1.34e-06,0.0008909139999999999,1
21342,0.6,7e-07,0.56,5,1.39e-06,0.0173808,1
16093,0.52,7e-07,0.4,5,1.49e-06,4.3e-05,1
14806,0.28,7e-07,0.4,5,1.68e-06,9.24e-06,1
6514,0.52,5e-07,0.56,5,1.45e-06,2.8800000000000002e-05,1
21642,0.2,7e-07,0.64,5,1.6e-06,0.000831258,1
5634,0.36,5e-07,0.56,5,1.62e-06,2.0300000000000002e-05,1
21396,0.6,7e-07,0.56,5,1.3e-06,0.000162019,1
20592,0.44,7e-07,0.56,5,1.31e-06,0.000290405,1
16823,0.2,7e-07,0.48,5,1.64e-06,0.000102347,1
11688,0.6,5e-07,0.72,5,1.5e-06,6.78e-05,1
16997,0.2,7e-07,0.48,5,1.3e-06,0.0468555,1
5733,0.36,5e-07,0.56,5,1.41e-06,0.000219927,1
5302,0.28,5e-07,0.56,5,1.47e-06,5.8299999999999994e-05,1
18159,0.44,7e-07,0.48,5,1.36e-06,0.116889,1
7366,0.2,5e-07,0.64,5,1.35e-06,0.000410516,1
24824,0.36,7e-07,0.72,5,1.64e-06,0.000275471,1
20527,0.44,7e-07,0.56,5,1.42e-06,0.160476,1
4941,0.2,5e-07,0.56,5,1.4e-06,0.000171526,1
10512,0.36,5e-07,0.72,5,1.45e-06,3.48e-05,1
22829,0.44,7e-07,0.64,5,1.63e-06,0.000392775,1
125,0.2,5e-07,0.4,5,1.42e-06,0.000147782,1
23718,0.6,7e-07,0.64,5,1.44e-06,0.14274,1
21634,0.2,7e-07,0.64,5,1.62e-06,0.000263947,1
7317,0.2,5e-07,0.64,5,1.44e-06,3.289999999999999e-05,1
22910,0.44,7e-07,0.64,5,1.45e-06,0.110179,1
502,0.28,5e-07,0.4,5,1.47e-06,0.00017450400000000002,1
6483,0.52,5e-07,0.56,5,1.51e-06,-1.63e-05,1
2864,0.28,5e-07,0.48,5,1.55e-06,0.0008805789999999999,1
21768,0.2,7e-07,0.64,5,1.35e-06,0.0292289,1
13665,0.52,5e-07,0.8,5,1.54e-06,0.00036498199999999997,1
24099,0.2,7e-07,0.72,5,1.47e-06,0.0228999,1
22036,0.28,7e-07,0.64,5,1.61e-06,0.000694968,1
22120,0.28,7e-07,0.64,5,1.43e-06,0.09494889999999999,1
853,0.36,5e-07,0.4,5,1.57e-06,0.000138448,1
4912,0.2,5e-07,0.56,5,1.45e-06,0.00018570200000000002,1
20064,0.36,7e-07,0.56,5,1.55e-06,0.000336311,1
8405,0.44,5e-07,0.64,5,1.69e-06,2.8999999999999997e-05,1
12196,0.2,5e-07,0.8,5,1.3e-06,0.000351531,1
24459,0.28,7e-07,0.72,5,1.56e-06,6.99e-05,1
16495,0.6,7e-07,0.4,5,1.48e-06,6.39e-05,1
16527,0.6,7e-07,0.4,5,1.42e-06,0.0100089,1
20549,0.44,7e-07,0.56,5,1.38e-06,0.0522399,1
17391,0.28,7e-07,0.48,5,1.31e-06,0.052831399999999994,1
22043,0.28,7e-07,0.64,5,1.59e-06,0.00065272,1
5650,0.36,5e-07,0.56,5,1.58e-06,0.000750325,1
12561,0.28,5e-07,0.8,5,1.36e-06,0.000612534,1
408,0.28,5e-07,0.4,5,1.68e-06,6.02e-05,1
4464,0.6,5e-07,0.48,5,1.55e-06,0.000421628,1
8832,0.52,5e-07,0.64,5,1.62e-06,0.00021637099999999998,1
19278,0.2,7e-07,0.56,5,1.52e-06,0.000494438,1
2465,0.2,5e-07,0.48,5,1.54e-06,0.000825471,1
8952,0.52,5e-07,0.64,5,1.38e-06,0.000262923,1
15289,0.36,7e-07,0.4,5,1.49e-06,0.00024851,1
8464,0.44,5e-07,0.64,5,1.55e-06,0.000633285,1
1669,0.52,5e-07,0.4,5,1.54e-06,-3.4899999999999995e-05,1
18120,0.44,7e-07,0.48,5,1.43e-06,0.009781999999999999,1
14435,0.2,7e-07,0.4,5,1.61e-06,0.00025640200000000003,1
17684,0.36,7e-07,0.48,5,1.5e-06,0.0006853060000000001,1
13223,0.44,5e-07,0.8,5,1.64e-06,0.000126243,1
22077,0.28,7e-07,0.64,5,1.52e-06,0.00034908300000000003,1
10098,0.28,5e-07,0.72,5,1.48e-06,1.3699999999999998e-05,1
5361,0.28,5e-07,0.56,5,1.36e-06,0.00016502799999999998,1
20507,0.44,7e-07,0.56,5,1.46e-06,0.0125441,1
14035,0.6,5e-07,0.8,5,1.61e-06,-2.2800000000000002e-05,1
6029,0.44,5e-07,0.56,5,1.63e-06,-2.09e-05,1
9674,0.2,5e-07,0.72,5,1.53e-06,-3.64e-05,1
15713,0.44,7e-07,0.4,5,1.45e-06,0.00048917,1
4148,0.52,5e-07,0.48,5,1.38e-06,4.970000000000001e-05,1
23605,0.6,7e-07,0.64,5,1.69e-06,-5.9999999999999995e-05,1
11608,0.6,5e-07,0.72,5,1.68e-06,-5.39e-05,1
22554,0.36,7e-07,0.64,5,1.37e-06,0.0289611,1
16163,0.52,7e-07,0.4,5,1.36e-06,0.134191,1
2926,0.28,5e-07,0.48,5,1.42e-06,0.000345944,1
23622,0.6,7e-07,0.64,5,1.64e-06,0.000259916,1
22983,0.44,7e-07,0.64,5,1.33e-06,0.000162347,1
4143,0.52,5e-07,0.48,5,1.39e-06,0.00020182299999999998,1
11369,0.52,5e-07,0.72,5,1.35e-06,0.00107328,1
6019,0.44,5e-07,0.56,5,1.65e-06,0.00010157100000000001,1
3347,0.36,5e-07,0.48,5,1.39e-06,0.00036863300000000005,1
20517,0.44,7e-07,0.56,5,1.44e-06,0.0670537,1
24833,0.36,7e-07,0.72,5,1.62e-06,0.000209179,1
11675,0.6,5e-07,0.72,5,1.52e-06,0.00028737,1
16502,0.6,7e-07,0.4,5,1.47e-06,3.3799999999999995e-05,1
12577,0.28,5e-07,0.8,5,1.33e-06,0.000220449,1
19676,0.28,7e-07,0.56,5,1.52e-06,0.00048419800000000003,1
17242,0.28,7e-07,0.48,5,1.6e-06,-7.43e-06,1
24846,0.36,7e-07,0.72,5,1.59e-06,0.000587698,1
7676,0.28,5e-07,0.64,5,1.52e-06,0.00038762,1
3205,0.36,5e-07,0.48,5,1.69e-06,-1.67e-05,1
14166,0.6,5e-07,0.8,5,1.35e-06,0.00187955,1
8887,0.52,5e-07,0.64,5,1.5e-06,0.00035666800000000003,1
21676,0.2,7e-07,0.64,5,1.52e-06,8.46e-05,1
20917,0.52,7e-07,0.56,5,1.44e-06,0.132512,1
10453,0.36,5e-07,0.72,5,1.57e-06,0.000520672,1
9349,0.6,5e-07,0.64,5,1.38e-06,0.000399084,1
6468,0.52,5e-07,0.56,5,1.54e-06,0.000421462,1
7242,0.2,5e-07,0.64,5,1.6e-06,0.000595401,1
24926,0.36,7e-07,0.72,5,1.42e-06,0.0963045,1
6976,0.6,5e-07,0.56,5,1.34e-06,0.00185798,1
19723,0.28,7e-07,0.56,5,1.43e-06,0.0297346,1
2859,0.28,5e-07,0.48,5,1.56e-06,0.0007825169999999999,1
8570,0.44,5e-07,0.64,5,1.35e-06,0.00056017,1
14583,0.2,7e-07,0.4,5,1.33e-06,0.19080899999999998,1
23730,0.6,7e-07,0.64,5,1.42e-06,0.0340144,1
16846,0.2,7e-07,0.48,5,1.59e-06,6.31e-05,1
24594,0.28,7e-07,0.72,5,1.31e-06,0.000316486,1
14937,0.28,7e-07,0.4,5,1.4e-06,0.000410133,1
8012,0.36,5e-07,0.64,5,1.67e-06,0.00010292299999999999,1
7620,0.28,5e-07,0.64,5,1.65e-06,0.000134086,1
8179,0.36,5e-07,0.64,5,1.33e-06,0.000770449,1
21628,0.2,7e-07,0.64,5,1.63e-06,-1.67e-05,1
6831,0.6,5e-07,0.56,5,1.62e-06,0.000473825,1
8070,0.36,5e-07,0.64,5,1.53e-06,0.000650746,1
565,0.28,5e-07,0.4,5,1.35e-06,4.22e-05,1
24147,0.2,7e-07,0.72,5,1.39e-06,0.029733,1
1227,0.44,5e-07,0.4,5,1.63e-06,0.00021148,1
17780,0.36,7e-07,0.48,5,1.33e-06,0.0566394,1
16067,0.52,7e-07,0.4,5,1.54e-06,3.6700000000000004e-05,1
8912,0.52,5e-07,0.64,5,1.45e-06,6.23e-05,1
24163,0.2,7e-07,0.72,5,1.36e-06,0.000362434,1
12978,0.36,5e-07,0.8,5,1.33e-06,0.000123654,1
961,0.36,5e-07,0.4,5,1.36e-06,0.000339057,1
20960,0.52,7e-07,0.56,5,1.36e-06,0.0215436,1
16128,0.52,7e-07,0.4,5,1.42e-06,0.00808178,1
12838,0.36,5e-07,0.8,5,1.61e-06,6.29e-05,1
5351,0.28,5e-07,0.56,5,1.38e-06,0.000253271,1
6912,0.6,5e-07,0.56,5,1.45e-06,0.000110058,1
24436,0.28,7e-07,0.72,5,1.61e-06,0.00022019900000000002,1
8908,0.52,5e-07,0.64,5,1.46e-06,7.92e-05,1
6963,0.6,5e-07,0.56,5,1.36e-06,0.00100162,1
4492,0.6,5e-07,0.48,5,1.49e-06,0.000562894,1
18114,0.44,7e-07,0.48,5,1.45e-06,0.00149619,1
17383,0.28,7e-07,0.48,5,1.33e-06,0.059512800000000005,1
8937,0.52,5e-07,0.64,5,1.4e-06,0.00035910699999999995,1
23280,0.52,7e-07,0.64,5,1.51e-06,0.00160928,1
20889,0.52,7e-07,0.56,5,1.49e-06,0.000969983,1
20033,0.36,7e-07,0.56,5,1.62e-06,4.8899999999999996e-05,1
1266,0.44,5e-07,0.4,5,1.54e-06,0.000452608,1
19222,0.2,7e-07,0.56,5,1.64e-06,0.000310975,1
21615,0.2,7e-07,0.64,5,1.66e-06,0.000129503,1
21662,0.2,7e-07,0.64,5,1.55e-06,0.00062388,1
22012,0.28,7e-07,0.64,5,1.67e-06,8.37e-05,1
12507,0.28,5e-07,0.8,5,1.46e-06,-1.3300000000000001e-05,1
1676,0.52,5e-07,0.4,5,1.52e-06,0.000211709,1
12560,0.28,5e-07,0.8,5,1.36e-06,0.000594335,1
1384,0.44,5e-07,0.4,5,1.32e-06,0.00245581,1
10114,0.28,5e-07,0.72,5,1.45e-06,1.4800000000000002e-05,1
1358,0.44,5e-07,0.4,5,1.37e-06,0.00029650900000000003,1
16817,0.2,7e-07,0.48,5,1.66e-06,-4.1200000000000005e-05,1
4107,0.52,5e-07,0.48,5,1.46e-06,0.00024586599999999997,1
8065,0.36,5e-07,0.64,5,1.54e-06,0.000703427,1
23388,0.52,7e-07,0.64,5,1.32e-06,0.000186477,1
24884,0.36,7e-07,0.72,5,1.5e-06,0.00588331,1
4402,0.6,5e-07,0.48,5,1.69e-06,2.01e-05,1
5391,0.28,5e-07,0.56,5,1.31e-06,0.00046819699999999995,1
25375,0.44,7e-07,0.72,5,1.34e-06,0.000346114,1
10121,0.28,5e-07,0.72,5,1.43e-06,4.0600000000000004e-05,1
5384,0.28,5e-07,0.56,5,1.32e-06,0.000323304,1
10162,0.28,5e-07,0.72,5,1.36e-06,0.000616143,1
833,0.36,5e-07,0.4,5,1.62e-06,0.000184506,1
6190,0.44,5e-07,0.56,5,1.31e-06,0.0005190969999999999,1
14873,0.28,7e-07,0.4,5,1.53e-06,0.00112987,1
547,0.28,5e-07,0.4,5,1.39e-06,0.0006797719999999999,1
5297,0.28,5e-07,0.56,5,1.48e-06,-8.7e-06,1
5739,0.36,5e-07,0.56,5,1.4e-06,0.000321151,1
16044,0.52,7e-07,0.4,5,1.59e-06,0.000324472,1
8476,0.44,5e-07,0.64,5,1.52e-06,-2.6899999999999997e-05,1
16913,0.2,7e-07,0.48,5,1.45e-06,0.000400717,1
21347,0.6,7e-07,0.56,5,1.39e-06,0.0134761,1
3721,0.44,5e-07,0.48,5,1.43e-06,0.000115385,1
8859,0.52,5e-07,0.64,5,1.56e-06,0.000352024,1
20846,0.52,7e-07,0.56,5,1.59e-06,9.070000000000001e-05,1
9710,0.2,5e-07,0.72,5,1.45e-06,5.14e-05,1
13608,0.52,5e-07,0.8,5,1.68e-06,-6.77e-05,1
8836,0.52,5e-07,0.64,5,1.61e-06,0.000178235,1
11645,0.6,5e-07,0.72,5,1.59e-06,0.000327408,1
13693,0.52,5e-07,0.8,5,1.49e-06,0.00015733700000000002,1
4913,0.2,5e-07,0.56,5,1.45e-06,0.00019732200000000002,1
14093,0.6,5e-07,0.8,5,1.49e-06,0.00139725,1
1307,0.44,5e-07,0.4,5,1.46e-06,1.3699999999999998e-05,1
5376,0.28,5e-07,0.56,5,1.34e-06,0.000289784,1
969,0.36,5e-07,0.4,5,1.35e-06,0.000786273,1
8487,0.44,5e-07,0.64,5,1.5e-06,0.000319261,1
10549,0.36,5e-07,0.72,5,1.38e-06,0.000380222,1
22925,0.44,7e-07,0.64,5,1.42e-06,0.14931,1
14065,0.6,5e-07,0.8,5,1.54e-06,0.000881614,1
16108,0.52,7e-07,0.4,5,1.46e-06,0.00019291099999999998,1
980,0.36,5e-07,0.4,5,1.33e-06,0.000244138,1
10486,0.36,5e-07,0.72,5,1.5e-06,0.000205267,1
13796,0.52,5e-07,0.8,5,1.3e-06,0.000457928,1
8919,0.52,5e-07,0.64,5,1.44e-06,4.46e-05,1
2955,0.28,5e-07,0.48,5,1.37e-06,0.00047370199999999994,1
10074,0.28,5e-07,0.72,5,1.53e-06,-1.9e-05,1
20806,0.52,7e-07,0.56,5,1.68e-06,4.93e-06,1
3673,0.44,5e-07,0.48,5,1.53e-06,0.00017161799999999998,1
3747,0.44,5e-07,0.48,5,1.39e-06,0.000660717,1
25395,0.44,7e-07,0.72,5,1.31e-06,0.000206722,1
990,0.36,5e-07,0.4,5,1.31e-06,0.000223463,1
15374,0.36,7e-07,0.4,5,1.34e-06,0.33873400000000004,1
12871,0.36,5e-07,0.8,5,1.53e-06,0.000445026,1
2516,0.2,5e-07,0.48,5,1.44e-06,3.8e-05,1
18068,0.44,7e-07,0.48,5,1.54e-06,0.00022740599999999998,1
8849,0.52,5e-07,0.64,5,1.58e-06,8.04e-05,1
18575,0.52,7e-07,0.48,5,1.34e-06,0.017346599999999997,1
24029,0.2,7e-07,0.72,5,1.63e-06,0.000483751,1
3701,0.44,5e-07,0.48,5,1.47e-06,1.4400000000000001e-05,1
16523,0.6,7e-07,0.4,5,1.43e-06,0.00637696,1
2572,0.2,5e-07,0.48,5,1.34e-06,0.00073731,1
1360,0.44,5e-07,0.4,5,1.36e-06,0.000263877,1
5303,0.28,5e-07,0.56,5,1.47e-06,8.149999999999999e-05,1
12991,0.36,5e-07,0.8,5,1.31e-06,0.00027437,1
6487,0.52,5e-07,0.56,5,1.5e-06,0.00010018,1
20430,0.44,7e-07,0.56,5,1.62e-06,8.149999999999999e-05,1
8173,0.36,5e-07,0.64,5,1.34e-06,0.0008059339999999999,1
4150,0.52,5e-07,0.48,5,1.38e-06,2.8800000000000002e-05,1
22959,0.44,7e-07,0.64,5,1.36e-06,0.00752331,1
22569,0.36,7e-07,0.64,5,1.35e-06,0.00486585,1
9274,0.6,5e-07,0.64,5,1.53e-06,0.0007512819999999999,1
6592,0.52,5e-07,0.56,5,1.31e-06,0.000538282,1
7622,0.28,5e-07,0.64,5,1.64e-06,5.1e-05,1
24813,0.36,7e-07,0.72,5,1.67e-06,-7.35e-05,1
24470,0.28,7e-07,0.72,5,1.53e-06,0.0009459119999999999,1
5217,0.28,5e-07,0.56,5,1.66e-06,0.00021261,1
15350,0.36,7e-07,0.4,5,1.38e-06,0.0498774,1
13277,0.44,5e-07,0.8,5,1.52e-06,0.000156081,1
16185,0.52,7e-07,0.4,5,1.32e-06,0.00642178,1
16464,0.6,7e-07,0.4,5,1.55e-06,0.000214482,1
4067,0.52,5e-07,0.48,5,1.54e-06,0.00019535400000000001,1
23668,0.6,7e-07,0.64,5,1.54e-06,0.0008443410000000001,1
5615,0.36,5e-07,0.56,5,1.66e-06,0.00014010299999999998,1
22453,0.36,7e-07,0.64,5,1.57e-06,0.000379895,1
20440,0.44,7e-07,0.56,5,1.6e-06,0.000945529,1
3247,0.36,5e-07,0.48,5,1.58e-06,0.00028392,1
23200,0.52,7e-07,0.64,5,1.7e-06,-2.61e-05,1
32,0.2,5e-07,0.4,5,1.62e-06,0.00031688,1
23641,0.6,7e-07,0.64,5,1.6e-06,0.000246838,1
2542,0.2,5e-07,0.48,5,1.39e-06,0.000363182,1
19601,0.28,7e-07,0.56,5,1.7e-06,-8.94e-05,1
2593,0.2,5e-07,0.48,5,1.31e-06,0.00038552,1
3235,0.36,5e-07,0.48,5,1.61e-06,4.7e-05,1
2072,0.6,5e-07,0.4,5,1.53e-06,0.00024937799999999997,1
12982,0.36,5e-07,0.8,5,1.33e-06,0.00024400099999999998,1
3358,0.36,5e-07,0.48,5,1.37e-06,0.000666186,1
12485,0.28,5e-07,0.8,5,1.5e-06,2.09e-05,1
6861,0.6,5e-07,0.56,5,1.55e-06,0.000742743,1
16415,0.6,7e-07,0.4,5,1.66e-06,1.4300000000000002e-05,1
7625,0.28,5e-07,0.64,5,1.64e-06,-4.5299999999999997e-05,1
25346,0.44,7e-07,0.72,5,1.39e-06,0.00277913,1
9343,0.6,5e-07,0.64,5,1.39e-06,0.000154858,1
14523,0.2,7e-07,0.4,5,1.43e-06,8.05e-05,1
10871,0.44,5e-07,0.72,5,1.53e-06,-1.67e-05,1
8077,0.36,5e-07,0.64,5,1.52e-06,0.000101137,1
811,0.36,5e-07,0.4,5,1.67e-06,-1.21e-06,1
7393,0.2,5e-07,0.64,5,1.31e-06,0.00059722,1
6474,0.52,5e-07,0.56,5,1.53e-06,0.000214611,1
14481,0.2,7e-07,0.4,5,1.51e-06,0.00102123,1
10890,0.44,5e-07,0.72,5,1.49e-06,-1.06e-05,1
7765,0.28,5e-07,0.64,5,1.35e-06,0.0004049,1
20105,0.36,7e-07,0.56,5,1.46e-06,0.0024286999999999998,1
4542,0.6,5e-07,0.48,5,1.39e-06,0.000113382,1
10129,0.28,5e-07,0.72,5,1.42e-06,0.000161451,1
1644,0.52,5e-07,0.4,5,1.59e-06,0.000496649,1
12566,0.28,5e-07,0.8,5,1.35e-06,0.000650696,1
25244,0.44,7e-07,0.72,5,1.59e-06,0.000578184,1
21790,0.2,7e-07,0.64,5,1.31e-06,0.000112205,1
23308,0.52,7e-07,0.64,5,1.46e-06,0.151766,1
8417,0.44,5e-07,0.64,5,1.66e-06,-6.59e-05,1
13791,0.52,5e-07,0.8,5,1.31e-06,0.000330559,1
24946,0.36,7e-07,0.72,5,1.39e-06,0.00010327,1
2983,0.28,5e-07,0.48,5,1.33e-06,0.000266005,1
21713,0.2,7e-07,0.64,5,1.45e-06,0.023840599999999997,1
24981,0.36,7e-07,0.72,5,1.33e-06,0.000311488,1
18925,0.6,7e-07,0.48,5,1.42e-06,0.12470899999999999,1
23721,0.6,7e-07,0.64,5,1.43e-06,0.112015,1
12844,0.36,5e-07,0.8,5,1.59e-06,0.000273109,1
