,Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
5619,0.36,5e-07,0.56,5,1.65e-06,0.000169598,1
21711,0.2,7e-07,0.64,5,1.45e-06,0.016938400000000003,1
5646,0.36,5e-07,0.56,5,1.59e-06,0.000756587,1
4155,0.52,5e-07,0.48,5,1.37e-06,0.00018668799999999999,1
3771,0.44,5e-07,0.48,5,1.34e-06,0.00056012,1
14441,0.2,7e-07,0.4,5,1.6e-06,0.0006160019999999999,1
14887,0.28,7e-07,0.4,5,1.5e-06,4.34e-05,1
21373,0.6,7e-07,0.56,5,1.34e-06,0.000941036,1
806,0.36,5e-07,0.4,5,1.68e-06,1.42e-05,1
13322,0.44,5e-07,0.8,5,1.43e-06,0.00015298799999999998,1
4896,0.2,5e-07,0.56,5,1.48e-06,0.000149455,1
9254,0.6,5e-07,0.64,5,1.57e-06,0.000194477,1
5340,0.28,5e-07,0.56,5,1.4e-06,0.000296276,1
19311,0.2,7e-07,0.56,5,1.45e-06,0.00185042,1
20412,0.44,7e-07,0.56,5,1.67e-06,7.44e-05,1
7214,0.2,5e-07,0.64,5,1.66e-06,0.000112204,1
8027,0.36,5e-07,0.64,5,1.63e-06,2.68e-05,1
16052,0.52,7e-07,0.4,5,1.57e-06,0.000728951,1
22935,0.44,7e-07,0.64,5,1.41e-06,0.0635219,1
12039,0.2,5e-07,0.8,5,1.6e-06,-4.51e-05,1
12486,0.28,5e-07,0.8,5,1.5e-06,1.24e-05,1
8115,0.36,5e-07,0.64,5,1.44e-06,6.92e-05,1
10860,0.44,5e-07,0.72,5,1.56e-06,0.000314807,1
17345,0.28,7e-07,0.48,5,1.39e-06,0.107682,1
16539,0.6,7e-07,0.4,5,1.4e-06,0.022125099999999998,1
12413,0.28,5e-07,0.8,5,1.67e-06,1.69e-06,1
8811,0.52,5e-07,0.64,5,1.67e-06,0.00010899899999999999,1
9774,0.2,5e-07,0.72,5,1.34e-06,0.000635654,1
5224,0.28,5e-07,0.56,5,1.64e-06,0.000236045,1
24170,0.2,7e-07,0.72,5,1.35e-06,0.00060189,1
22585,0.36,7e-07,0.64,5,1.32e-06,0.000373898,1
192,0.2,5e-07,0.4,5,1.31e-06,0.00037223800000000005,1
11311,0.52,5e-07,0.72,5,1.45e-06,1.6800000000000002e-05,1
5390,0.28,5e-07,0.56,5,1.31e-06,0.000448958,1
2497,0.2,5e-07,0.48,5,1.48e-06,0.000375503,1
23279,0.52,7e-07,0.64,5,1.51e-06,0.0014765999999999998,1
13360,0.44,5e-07,0.8,5,1.36e-06,0.0005910819999999999,1
3757,0.44,5e-07,0.48,5,1.37e-06,0.000309702,1
20176,0.36,7e-07,0.56,5,1.34e-06,0.0322459,1
22886,0.44,7e-07,0.64,5,1.5e-06,0.00230079,1
14904,0.28,7e-07,0.4,5,1.46e-06,0.00043010199999999997,1
15247,0.36,7e-07,0.4,5,1.58e-06,-1.78e-07,1
560,0.28,5e-07,0.4,5,1.36e-06,0.000163246,1
