,training_loss,testing_loss,learning_rate
0,1.0365362,0.94658977,0.001
1,0.79339594,0.73279613,0.001
2,0.7369055,0.67187184,0.001
3,0.70310557,0.636052,0.001
4,0.6659171,0.6007369,0.001
5,0.6246043,0.56404305,0.001
6,0.578014,0.52377003,0.001
7,0.5218146,0.4794617,0.001
8,0.47347924,0.44098803,0.001
9,0.42885232,0.40114692,0.001
10,0.39185154,0.36945134,0.001
11,0.36272052,0.34478152,0.001
12,0.3416899,0.32454193,0.001
13,0.32506746,0.30645406,0.001
14,0.307511,0.2900399,0.001
15,0.28872034,0.273515,0.001
16,0.27441862,0.2598384,0.001
17,0.25944853,0.24582489,0.001
18,0.24547145,0.2331172,0.001
19,0.23306791,0.22199021,0.001
20,0.22156584,0.21124545,0.001
21,0.21213591,0.20212023,0.001
22,0.2028083,0.19374621,0.001
23,0.19325064,0.18545574,0.001
24,0.18609546,0.17871836,0.001
25,0.17931673,0.17305255,0.001
26,0.17296204,0.16775863,0.001
27,0.16834366,0.16309033,0.001
28,0.16435328,0.15888485,0.001
29,0.16043761,0.15510336,0.001
30,0.15693448,0.15170898,0.001
31,0.15383565,0.1485189,0.001
32,0.15128319,0.14559726,0.001
33,0.14870211,0.14305165,0.001
34,0.14626117,0.14054371,0.001
35,0.14433654,0.13824742,0.001
36,0.1422434,0.13619985,0.001
37,0.14023359,0.13427436,0.001
38,0.13857973,0.1324846,0.001
39,0.1369461,0.13078791,0.001
40,0.13554823,0.12923096,0.001
41,0.13415076,0.1277828,0.001
42,0.1329468,0.12651466,0.001
43,0.1317176,0.12525669,0.001
44,0.13047245,0.12398474,0.001
45,0.1292917,0.12285911,0.001
46,0.1282731,0.12166902,0.001
47,0.1271064,0.120484754,0.001
48,0.12608495,0.11951947,0.001
49,0.12513563,0.11858989,0.001
50,0.1241615,0.1177072,0.001
51,0.12339354,0.11695642,0.001
52,0.122522384,0.116098106,0.001
53,0.12178247,0.115379035,0.001
54,0.12114462,0.1147458,0.001
55,0.120133996,0.113888234,0.001
56,0.11923397,0.1131601,0.001
57,0.118643366,0.11266754,0.001
58,0.11782016,0.11189398,0.001
59,0.11724062,0.111305505,0.001
60,0.116446085,0.11065068,0.001
61,0.11558552,0.11000743,0.001
62,0.11488265,0.10943074,0.001
63,0.11404772,0.108808875,0.001
64,0.11339558,0.10825709,0.001
65,0.112686045,0.10772393,0.001
66,0.11198432,0.10718189,0.001
67,0.11139561,0.10678038,0.001
68,0.110570975,0.10616291,0.001
69,0.110004105,0.105666414,0.001
70,0.10959944,0.10525542,0.001
71,0.10904018,0.104794234,0.001
72,0.108550884,0.10434115,0.001
73,0.10805597,0.103921235,0.001
74,0.107489824,0.10347383,0.001
75,0.107026115,0.10306975,0.001
76,0.10653031,0.10271124,0.001
77,0.10595772,0.10231869,0.001
78,0.10539307,0.10190748,0.001
79,0.10483597,0.10146973,0.001
80,0.10433724,0.101087764,0.001
81,0.1038946,0.10077766,0.001
82,0.103512175,0.10044029,0.001
83,0.10303888,0.100057684,0.001
84,0.10253126,0.09963989,0.001
85,0.10219484,0.09931696,0.001
86,0.101803586,0.09896721,0.001
87,0.10140012,0.09861003,0.001
88,0.10109951,0.098321244,0.001
89,0.10076275,0.09799758,0.001
90,0.1003149,0.09760826,0.001
91,0.09984196,0.097234786,0.001
92,0.09942253,0.09691207,0.001
93,0.09915977,0.09666409,0.001
94,0.09883947,0.096358635,0.001
95,0.098482005,0.096097484,0.001
96,0.09816098,0.0958455,0.001
97,0.09779194,0.09555514,0.001
98,0.09740492,0.0952386,0.001
99,0.09705059,0.09492753,0.001
100,0.09668019,0.09462175,0.001
101,0.09647077,0.094429925,0.001
102,0.0961989,0.094101354,0.001
103,0.09590127,0.09382005,0.001
104,0.095599234,0.09355909,0.001
105,0.09524853,0.09327772,0.001
106,0.09509515,0.09311175,0.001
107,0.09473208,0.09280652,0.001
108,0.094516434,0.09257868,0.001
109,0.09436589,0.09240427,0.001
110,0.09402277,0.09214251,0.001
111,0.09379643,0.09193282,0.001
112,0.09351131,0.09168737,0.001
113,0.09316175,0.0914016,0.001
114,0.09296855,0.09123602,0.001
115,0.09271369,0.09101178,0.001
116,0.0924867,0.09082325,0.001
117,0.09233954,0.09064825,0.001
118,0.09215269,0.09047505,0.001
119,0.09198205,0.090304464,0.001
120,0.09178135,0.090096444,0.001
121,0.09151101,0.08991289,0.001
122,0.0913213,0.089732535,0.001
123,0.09097602,0.089461245,0.001
124,0.09085454,0.08936193,0.001
125,0.090788074,0.0892665,0.001
126,0.09066269,0.08916611,0.001
127,0.09037616,0.088980645,0.001
128,0.09019666,0.0888041,0.001
129,0.090087265,0.088685796,0.001
130,0.089819334,0.08846313,0.001
131,0.08958285,0.0882889,0.001
132,0.08954081,0.08819049,0.001
133,0.0891659,0.08789666,0.001
134,0.08918686,0.08789169,0.001
135,0.08883926,0.087574914,0.001
136,0.08884708,0.08755647,0.001
137,0.08868895,0.08740878,0.001
138,0.08844156,0.08720321,0.001
139,0.08821876,0.08703454,0.001
140,0.08804785,0.08690983,0.001
141,0.08787545,0.08677863,0.001
142,0.08769501,0.08658207,0.001
143,0.08753729,0.08641664,0.001
144,0.08744588,0.086292356,0.001
145,0.08724954,0.08612111,0.001
146,0.08701003,0.08591533,0.001
147,0.08703625,0.08589203,0.001
148,0.086691014,0.08558162,0.001
149,0.0866642,0.08548965,0.001
150,0.08640045,0.08528344,0.001
151,0.08636749,0.085235186,0.001
152,0.086139694,0.08507397,0.001
153,0.0859624,0.084909834,0.001
154,0.085792206,0.084739745,0.001
155,0.08565837,0.08457721,0.001
156,0.085504524,0.084420376,0.001
157,0.08537158,0.08432071,0.001
158,0.085334025,0.08423972,0.001
159,0.08505665,0.08403306,0.001
160,0.085086465,0.08403301,0.001
161,0.08490228,0.08387431,0.001
162,0.08483251,0.08380242,0.001
163,0.08459967,0.08358666,0.001
164,0.08453812,0.08349631,0.001
165,0.084387,0.08338228,0.001
166,0.08420831,0.0831942,0.001
167,0.08417226,0.08312255,0.001
168,0.0840783,0.083033234,0.001
169,0.08393747,0.08290967,0.001
170,0.08373271,0.082773566,0.001
171,0.083478175,0.0825436,0.001
172,0.083387814,0.08246021,0.001
173,0.08326092,0.082345806,0.001
174,0.08310516,0.08222716,0.001
