Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 7e-07, 0.4, 0.2, 1, 1.32188e-06, -0.000230382
5, 7e-07, 0.4, 0.28, 0, 1.32988e-06, 0.285603
5, 7e-07, 0.4, 0.28, 1, 1.32188e-06, -0.000237041
5, 7e-07, 0.4, 0.36, 0, 1.34123e-06, 0.33999
5, 7e-07, 0.4, 0.36, 1, 1.57574e-06, -0.000162455
5, 7e-07, 0.4, 0.44, 0, 1.35445e-06, 0.309684
5, 7e-07, 0.4, 0.44, 1, 1.41185e-06, -8.4299e-05
5, 7e-07, 0.4, 0.52, 0, 1.37134e-06, 0.163455
5, 7e-07, 0.4, 0.52, 1, 1.44335e-06, -4.15735e-05
5, 7e-07, 0.4, 0.6, 0, 1.39395e-06, 0.0249331
5, 7e-07, 0.4, 0.6, 1, 1.44525e-06, -6.19183e-05
5, 7e-07, 0.48, 0.2, 0, 1.36964e-06, 0.111642
5, 7e-07, 0.48, 0.2, 1, 1.33634e-06, -0.000254859
5, 7e-07, 0.48, 0.28, 0, 1.37477e-06, 0.164584
5, 7e-07, 0.48, 0.28, 1, 1.32188e-06, -0.000232468
5, 7e-07, 0.48, 0.36, 0, 1.37995e-06, 0.221605
5, 7e-07, 0.48, 0.36, 1, 1.42835e-06, -7.17005e-05
5, 7e-07, 0.48, 0.44, 0, 1.38691e-06, 0.26175
5, 7e-07, 0.48, 0.44, 1, 1.44525e-06, -3.71482e-05
5, 7e-07, 0.48, 0.52, 0, 1.39927e-06, 0.24114
5, 7e-07, 0.48, 0.52, 1, 1.43581e-06, -4.86386e-05
5, 7e-07, 0.48, 0.6, 0, 1.41366e-06, 0.164018
5, 7e-07, 0.48, 0.6, 1, 1.45097e-06, -3.24252e-05
5, 7e-07, 0.56, 0.2, 0, 1.39927e-06, 0.0967377
5, 7e-07, 0.56, 0.2, 1, 1.34946e-06, -0.00026841
5, 7e-07, 0.56, 0.28, 0, 1.40105e-06, 0.12793
5, 7e-07, 0.56, 0.28, 1, 1.39572e-06, -0.000220644
5, 7e-07, 0.56, 0.36, 0, 1.40643e-06, 0.161069
5, 7e-07, 0.56, 0.36, 1, 1.41914e-06, -6.66701e-05
5, 7e-07, 0.56, 0.44, 0, 1.41185e-06, 0.183
5, 7e-07, 0.56, 0.44, 1, 1.44715e-06, -3.42995e-05
5, 7e-07, 0.56, 0.52, 0, 1.42097e-06, 0.189942
5, 7e-07, 0.56, 0.52, 1, 1.46255e-06, -2.17233e-05
5, 7e-07, 0.56, 0.6, 0, 1.43581e-06, 0.178979
5, 7e-07, 0.56, 0.6, 1, 1.44146e-06, -2.8396e-05
5, 7e-07, 0.64, 0.2, 0, 1.41731e-06, 0.10493
5, 7e-07, 0.64, 0.2, 1, 1.36964e-06, -0.000274717
5, 7e-07, 0.64, 0.28, 0, 1.42097e-06, 0.125622
5, 7e-07, 0.64, 0.28, 1, 1.40823e-06, -0.000187486
5, 7e-07, 0.64, 0.36, 0, 1.4265e-06, 0.146815
5, 7e-07, 0.64, 0.36, 1, 1.43394e-06, -2.63203e-05
5, 7e-07, 0.64, 0.44, 0, 1.43394e-06, 0.166318
5, 7e-07, 0.64, 0.44, 1, 1.46061e-06, -4.99177e-05
5, 7e-07, 0.64, 0.52, 0, 1.44335e-06, 0.182294
5, 7e-07, 0.64, 0.52, 1, 1.47829e-06, -5.15475e-05
5, 7e-07, 0.64, 0.6, 0, 1.45481e-06, 0.204566
5, 7e-07, 0.64, 0.6, 1, 1.44906e-06, -2.74923e-05
5, 7e-07, 0.72, 0.2, 0, 1.43581e-06, 0.14312
5, 7e-07, 0.72, 0.2, 1, 1.41548e-06, -9.73107e-05
5, 7e-07, 0.72, 0.28, 0, 1.44146e-06, 0.160468
5, 7e-07, 0.72, 0.28, 1, 1.43581e-06, -6.27251e-05
5, 7e-07, 0.72, 0.36, 0, 1.44715e-06, 0.179272
5, 7e-07, 0.72, 0.36, 1, 1.45097e-06, -9.29029e-05
5, 7e-07, 0.72, 0.44, 0, 1.45481e-06, 0.198843
5, 7e-07, 0.72, 0.44, 1, 1.47038e-06, -3.76744e-05
5, 7e-07, 0.72, 0.52, 0, 1.46255e-06, 0.222992
5, 7e-07, 0.72, 0.52, 1, 1.44146e-06, -3.87198e-05
5, 7e-07, 0.72, 0.6, 0, 1.47235e-06, 0.253637
