Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 5e-07, 0.628571, 0.371429, 0, 1.54073e-06, 0.000619992
5, 5e-07, 0.628571, 0.371429, 1, 1.49832e-06, -5.3986e-05
5, 5e-07, 0.628571, 0.428571, 0, 1.6231e-06, 0.000905596
5, 5e-07, 0.628571, 0.428571, 1, 1.5888e-06, -8.1693e-05
5, 5e-07, 0.628571, 0.485714, 0, 1.6537e-06, 0.00201925
5, 5e-07, 0.628571, 0.485714, 1, 1.43695e-06, -6.89603e-05
5, 5e-07, 0.628571, 0.542857, 0, 1.66416e-06, 0.00147753
5, 5e-07, 0.628571, 0.542857, 1, 1.62143e-06, -6.7208e-05
5, 5e-07, 0.628571, 0.6, 0, 1.56828e-06, 0.000579795
5, 5e-07, 0.628571, 0.6, 1, 1.58243e-06, -4.52605e-05
5, 5e-07, 0.685714, 0.2, 0, 1.60658e-06, 0.000605178
5, 5e-07, 0.685714, 0.2, 1, 1.61315e-06, -5.64401e-05
5, 5e-07, 0.685714, 0.257143, 0, 1.54677e-06, 0.000618202
5, 5e-07, 0.685714, 0.257143, 1, 1.5888e-06, -5.72378e-05
5, 5e-07, 0.685714, 0.314286, 0, 1.61977e-06, 0.000643944
5, 5e-07, 0.685714, 0.314286, 1, 1.47316e-06, -6.02165e-05
5, 5e-07, 0.685714, 0.371429, 0, 1.65024e-06, 0.00130479
5, 5e-07, 0.685714, 0.371429, 1, 1.5888e-06, -7.50534e-05
5, 5e-07, 0.685714, 0.428571, 0, 1.66416e-06, 0.00190185
5, 5e-07, 0.685714, 0.428571, 1, 1.6115e-06, -4.52536e-05
5, 5e-07, 0.685714, 0.485714, 0, 1.66768e-06, 0.00121095
5, 5e-07, 0.685714, 0.485714, 1, 1.68368e-06, -3.3798e-05
5, 5e-07, 0.685714, 0.542857, 0, 1.52143e-06, 0.00056294
5, 5e-07, 0.685714, 0.542857, 1, 1.64166e-06, -3.27792e-05
5, 5e-07, 0.685714, 0.6, 0, 1.52584e-06, 0.000452043
5, 5e-07, 0.685714, 0.6, 1, 1.48145e-06, -4.08416e-05
5, 5e-07, 0.742857, 0.2, 0, 1.63656e-06, 0.000756574
5, 5e-07, 0.742857, 0.2, 1, 1.65024e-06, -4.35818e-05
5, 5e-07, 0.742857, 0.257143, 0, 1.66066e-06, 0.00157902
5, 5e-07, 0.742857, 0.257143, 1, 1.61315e-06, -4.80433e-05
5, 5e-07, 0.742857, 0.314286, 0, 1.66944e-06, 0.00186521
5, 5e-07, 0.742857, 0.314286, 1, 1.60986e-06, -4.75751e-05
5, 5e-07, 0.742857, 0.371429, 0, 1.67121e-06, 0.00125826
5, 5e-07, 0.742857, 0.371429, 1, 1.68368e-06, -3.32009e-05
5, 5e-07, 0.742857, 0.428571, 0, 1.57768e-06, 0.000442875
5, 5e-07, 0.742857, 0.428571, 1, 1.58084e-06, -4.23456e-05
5, 5e-07, 0.742857, 0.485714, 0, 1.52879e-06, 0.000556399
5, 5e-07, 0.742857, 0.485714, 1, 1.65024e-06, -3.55744e-05
5, 5e-07, 0.742857, 0.542857, 0, 1.53176e-06, 0.000376497
5, 5e-07, 0.742857, 0.542857, 1, 1.65544e-06, -3.09044e-05
5, 5e-07, 0.742857, 0.6, 0, 1.4e-06, 0.000616416
5, 5e-07, 0.742857, 0.6, 1, 1.5856e-06, -3.49512e-05
5, 5e-07, 0.8, 0.2, 0, 1.68189e-06, 0.00105679
5, 5e-07, 0.8, 0.2, 1, 1.63148e-06, -3.43058e-05
5, 5e-07, 0.8, 0.257143, 0, 1.68189e-06, 0.000390222
5, 5e-07, 0.8, 0.257143, 1, 1.6468e-06, -3.51224e-05
5, 5e-07, 0.8, 0.314286, 0, 1.53176e-06, 0.000454235
5, 5e-07, 0.8, 0.314286, 1, 1.64509e-06, -3.70992e-05
5, 5e-07, 0.8, 0.371429, 0, 1.53474e-06, 0.000429054
5, 5e-07, 0.8, 0.371429, 1, 1.66066e-06, -4.2386e-05
5, 5e-07, 0.8, 0.428571, 0, 1.59522e-06, 0.000640435
5, 5e-07, 0.8, 0.428571, 1, 1.66768e-06, -3.95301e-05
5, 5e-07, 0.8, 0.485714, 0, 1.4e-06, 0.000527943
5, 5e-07, 0.8, 0.485714, 1, 1.59683e-06, -3.78633e-05
5, 5e-07, 0.8, 0.542857, 0, 1.49832e-06, 0.000741385
5, 5e-07, 0.8, 0.542857, 1, 1.66768e-06, -3.81799e-05
