,training_loss_mse,testing_loss_mse,learning_rate
154,0.077842064,0.076968275,0.001
155,0.07793422,0.07706213,0.001
156,0.07701996,0.076177746,0.001
157,0.07886437,0.077952236,0.001
158,0.077842385,0.07695532,0.001
159,0.076764196,0.07591924,0.001
160,0.07762764,0.076751605,0.001
161,0.077004604,0.07613929,0.001
162,0.07681981,0.07596093,0.001
163,0.07749698,0.0766246,0.001
164,0.076796845,0.0759423,0.001
165,0.07616843,0.075321935,0.001
166,0.07640192,0.07554945,0.001
167,0.0757566,0.07493224,0.001
168,0.07591894,0.075076476,0.001
169,0.075257204,0.0744522,0.001
170,0.07578595,0.074952796,0.001
171,0.0763474,0.07549306,0.001
172,0.07701899,0.076153554,0.001
173,0.077081256,0.076214746,0.001
174,0.074440286,0.073644415,0.001
175,0.088444814,0.08797569,0.001
176,0.07291175,0.07237128,0.001
177,0.07200823,0.07137416,0.001
178,0.07490738,0.07438132,0.001
179,0.076401554,0.0759115,0.001
180,0.0766001,0.076103255,0.001
181,0.07642366,0.07590012,0.001
182,0.07534707,0.07480243,0.001
183,0.07439843,0.07383266,0.001
184,0.07528182,0.074706115,0.001
185,0.073969364,0.07339794,0.001
186,0.07395313,0.07340034,0.001
187,0.0733859,0.07283818,0.001
188,0.072312534,0.07176992,0.001
189,0.07109426,0.070552796,0.001
190,0.07086723,0.070336245,0.001
191,0.071577474,0.0710684,0.001
192,0.071514145,0.07101404,0.001
193,0.07105156,0.070539944,0.001
194,0.071142256,0.07063724,0.001
195,0.07111808,0.07062232,0.001
196,0.07087351,0.07037452,0.001
197,0.07068456,0.070192784,0.001
198,0.07055769,0.07006466,0.001
199,0.070765175,0.070275865,0.001
200,0.072133765,0.0716682,0.001
201,0.072395466,0.07192218,0.001
202,0.072035536,0.07155196,0.001
203,0.071555674,0.0710681,0.001
204,0.07138366,0.07089146,0.001
205,0.07035449,0.06986728,0.001
206,0.06949209,0.0689984,0.001
207,0.06886805,0.068356045,0.001
208,0.06887969,0.06836491,0.001
209,0.06888817,0.06838118,0.001
210,0.06902659,0.06851717,0.001
211,0.06913345,0.068628006,0.001
212,0.06971349,0.06920288,0.001
213,0.07079949,0.07030296,0.001
214,0.07142623,0.070923954,0.001
215,0.071666785,0.07115331,0.001
216,0.070046015,0.06953162,0.001
217,0.06863871,0.06811041,0.001
218,0.06748104,0.06695325,0.001
219,0.06729802,0.06675456,0.001
220,0.06729617,0.066754565,0.001
221,0.06837648,0.06785169,0.001
222,0.07059341,0.07007797,0.001
223,0.07025368,0.06972988,0.001
224,0.068631016,0.068102665,0.001
225,0.06783591,0.06729344,0.001
226,0.06778723,0.067233846,0.001
227,0.06828728,0.067733675,0.001
228,0.06765177,0.06710051,0.001
229,0.066914685,0.06634146,0.001
230,0.06658496,0.066002466,0.001
231,0.06638448,0.06580208,0.001
232,0.066340804,0.06574482,0.001
233,0.06639042,0.06580647,0.001
234,0.06856282,0.06801164,0.001
235,0.0694907,0.06892482,0.001
236,0.068575926,0.068012014,0.001
237,0.06680943,0.066231064,0.001
238,0.06640283,0.065825135,0.001
239,0.06675669,0.06618619,0.001
240,0.06720077,0.06664104,0.001
241,0.06675727,0.06619084,0.001
242,0.06603879,0.06546568,0.001
243,0.066174224,0.06561536,0.001
244,0.06683763,0.066291876,0.001
245,0.0684683,0.06792023,0.001
246,0.06933776,0.068769716,0.001
247,0.069173835,0.06860251,0.001
248,0.06903995,0.06847391,0.001
249,0.06803561,0.06746477,0.001
