,training_loss_mse,testing_loss_mse,learning_rate
176,0.07361432,0.09199715,0.001
177,0.073752634,0.09222879,0.001
178,0.07327742,0.091560945,0.001
179,0.0732799,0.09136745,0.001
180,0.073795885,0.09187801,0.001
181,0.07371604,0.091682956,0.001
182,0.07355858,0.09149254,0.001
183,0.07421998,0.092230834,0.001
184,0.07472421,0.09276284,0.001
185,0.07435179,0.09253712,0.001
186,0.07402054,0.0922021,0.001
187,0.073075384,0.09135084,0.001
188,0.075065345,0.09377475,0.001
189,0.07531253,0.09416952,0.001
190,0.07353689,0.09222975,0.001
191,0.074392684,0.09320045,0.001
192,0.07477187,0.09343235,0.001
193,0.07389043,0.09273036,0.001
194,0.074885465,0.09377802,0.001
195,0.07484916,0.09356723,0.001
196,0.07480433,0.093578376,0.001
197,0.0749638,0.09351674,0.001
198,0.07411113,0.09259787,0.001
199,0.072001934,0.090689056,0.001
200,0.07301782,0.09169599,0.001
201,0.073249735,0.091784,0.001
202,0.073605664,0.09176553,0.001
203,0.07519923,0.09353413,0.001
204,0.074807666,0.09284302,0.001
205,0.074701704,0.092493095,0.001
206,0.076707825,0.0947487,0.001
207,0.07420533,0.09209594,0.001
208,0.075150706,0.09310873,0.001
209,0.07414678,0.09237688,0.001
210,0.07438764,0.09226792,0.001
211,0.07450616,0.09261026,0.001
212,0.07415445,0.09222997,0.001
213,0.07393633,0.09207101,0.001
214,0.07558628,0.093794554,0.001
215,0.075846635,0.09389093,0.001
216,0.07439073,0.09275126,0.001
217,0.073989816,0.09221142,0.001
218,0.07480171,0.09321995,0.001
219,0.07608359,0.09449922,0.001
220,0.07674536,0.09490705,0.001
221,0.074596755,0.09332449,0.001
222,0.07482055,0.0936703,0.001
223,0.07547388,0.094266646,0.001
224,0.074159846,0.092972554,0.001
225,0.07456281,0.093473,0.001
226,0.073258825,0.0922632,0.001
227,0.07417902,0.09293281,0.001
228,0.073655054,0.09294453,0.001
229,0.0740986,0.09302688,0.001
230,0.0750743,0.094039954,0.001
231,0.0754702,0.09457378,0.001
232,0.075195,0.09422439,0.001
233,0.07526434,0.09458034,0.001
234,0.07449675,0.09376356,0.001
235,0.0742726,0.09373504,0.001
236,0.07399129,0.09335745,0.001
237,0.07319073,0.092539854,0.001
238,0.07487351,0.09426569,0.001
239,0.07548423,0.09483446,0.001
240,0.07493591,0.094412,0.001
241,0.073476695,0.092977084,0.001
242,0.07345499,0.09294703,0.001
243,0.07282486,0.09225027,0.001
244,0.0734786,0.09303337,0.001
245,0.07267357,0.09222171,0.001
246,0.0730539,0.09264245,0.001
247,0.07270116,0.092385605,0.001
248,0.07195406,0.09166843,0.001
249,0.07242788,0.09233658,0.001
