,training_loss_mse,testing_loss_mse,learning_rate
176,0.07936606,0.099698134,0.001
177,0.07965716,0.10004121,0.001
178,0.079449244,0.09982695,0.001
179,0.0798518,0.10017392,0.001
180,0.079488166,0.10000369,0.001
181,0.07977452,0.100244634,0.001
182,0.07921058,0.09979248,0.001
183,0.07928957,0.09996744,0.001
184,0.07975319,0.100172475,0.001
185,0.07977947,0.100223854,0.001
186,0.079339825,0.09984831,0.001
187,0.07954969,0.099958226,0.001
188,0.07951246,0.09996178,0.001
189,0.07955657,0.100034736,0.001
190,0.07949713,0.100047,0.001
191,0.08016851,0.10079006,0.001
192,0.079784386,0.10036564,0.001
193,0.07973546,0.10042623,0.001
194,0.079750516,0.10045294,0.001
195,0.07959912,0.10036751,0.001
196,0.0792759,0.099938065,0.001
197,0.0794974,0.10029336,0.001
198,0.07936741,0.10008707,0.001
199,0.0790637,0.09977319,0.001
200,0.079443134,0.10018687,0.001
201,0.07903979,0.09977022,0.001
202,0.07888469,0.099607676,0.001
203,0.07879224,0.099462196,0.001
204,0.078993544,0.09971683,0.001
205,0.07851628,0.09923668,0.001
206,0.078672245,0.09954077,0.001
207,0.07863695,0.0994293,0.001
208,0.07862552,0.09939637,0.001
209,0.07875292,0.09970604,0.001
210,0.0787506,0.099729404,0.001
211,0.07864056,0.09951364,0.001
212,0.07855753,0.09939456,0.001
213,0.078537874,0.09933035,0.001
214,0.07837575,0.09919239,0.001
215,0.07828734,0.09904597,0.001
216,0.07827733,0.09905954,0.001
217,0.07831981,0.099152505,0.001
218,0.07809135,0.098757684,0.001
219,0.078515954,0.09928072,0.001
220,0.07810652,0.09873059,0.001
221,0.07830741,0.09918214,0.001
222,0.07783938,0.098555066,0.001
223,0.077982135,0.09884428,0.001
224,0.07776455,0.09856245,0.001
225,0.077428,0.09825172,0.001
226,0.07761488,0.09840393,0.001
227,0.07752422,0.0982505,0.001
228,0.077408515,0.09829126,0.001
229,0.077216305,0.09797666,0.001
230,0.07700313,0.097813234,0.001
231,0.077224016,0.09799424,0.001
232,0.07685787,0.09750734,0.001
233,0.07693979,0.09766879,0.001
234,0.07692489,0.097740285,0.001
235,0.07696148,0.097827934,0.001
236,0.07687401,0.09770871,0.001
237,0.076624416,0.097468354,0.001
238,0.07665861,0.09732296,0.001
239,0.07655303,0.09735943,0.001
240,0.076567784,0.09742103,0.001
241,0.07624372,0.09674591,0.001
242,0.076521225,0.097093165,0.001
243,0.07631712,0.09682198,0.001
244,0.07622784,0.09692308,0.001
245,0.07590909,0.0963112,0.001
246,0.07635501,0.096783735,0.001
247,0.075988285,0.09668169,0.001
248,0.07598399,0.0962723,0.001
249,0.07607038,0.09659969,0.001
