,training_loss,testing_loss
0,19.029453,19.010592
1,13.468209,13.458006
2,3.1788824,3.07945
3,1.0721998,1.0411636
4,1.1226653,1.1025294
5,1.1515601,1.1168855
6,0.82226574,0.80413747
7,0.6711269,0.64669347
8,0.6464983,0.62698066
9,0.6245703,0.606311
10,0.61420333,0.5968347
11,0.6119841,0.59448045
12,0.60808337,0.5923715
13,0.6045929,0.58817935
14,0.59725565,0.5815723
15,0.58488476,0.56987077
16,0.55908227,0.54463035
17,0.50137365,0.4881271
18,0.37690258,0.3655902
19,0.23547508,0.22706379
20,0.23957354,0.23098256
21,0.2110854,0.20345417
22,0.20297869,0.1962206
23,0.19627188,0.18965986
24,0.18840827,0.18230933
25,0.18162246,0.17697781
26,0.174936,0.17098287
27,0.16914512,0.16562314
28,0.16351984,0.16075875
29,0.15860106,0.15667655
30,0.15430495,0.15313719
31,0.15025264,0.14999312
32,0.14666452,0.14710829
33,0.14350139,0.14449652
34,0.14024095,0.14169261
35,0.13682307,0.13875148
36,0.13200392,0.1349018
37,0.12075692,0.12628482
38,0.108127676,0.11413148
39,0.10169779,0.1059506
40,0.09257952,0.095016174
41,0.08470434,0.08581133
42,0.08153181,0.0818233
43,0.07588827,0.07595475
44,0.06841061,0.06853738
45,0.06340004,0.063795075
46,0.059760857,0.060268156
47,0.05683278,0.057847567
48,0.054111153,0.055602804
49,0.052893966,0.054365166
50,0.055548783,0.05670985
51,0.05291568,0.054414116
52,0.048291244,0.05035987
53,0.047015157,0.049249854
54,0.046420325,0.04842658
55,0.04654179,0.04825942
56,0.04640534,0.04807366
57,0.045547914,0.047219522
58,0.044293422,0.045949608
59,0.043211304,0.04485413
60,0.04243654,0.044000205
61,0.04180348,0.043296468
62,0.04125357,0.04265176
63,0.04066199,0.04209898
64,0.04014348,0.041607954
65,0.039754502,0.041171595
66,0.03922083,0.040617984
67,0.03853294,0.039955214
68,0.03790312,0.039365932
69,0.037204366,0.038702622
70,0.03637551,0.037890982
71,0.035502568,0.036983594
72,0.034799725,0.036264095
73,0.034302045,0.035697255
74,0.03399053,0.03531356
75,0.033797298,0.03508054
76,0.033699743,0.03497016
77,0.033588596,0.034854174
78,0.033443306,0.034693323
79,0.033052117,0.034277212
80,0.032318175,0.03351765
81,0.0313064,0.03250093
82,0.030173015,0.03135776
83,0.029169463,0.030336019
84,0.028392635,0.029543318
85,0.028011765,0.029141603
86,0.027770463,0.028853266
87,0.027763868,0.02879087
88,0.02788205,0.028854245
89,0.02803954,0.028991591
90,0.028206684,0.02912206
91,0.028273657,0.02913916
92,0.028142698,0.028982902
93,0.027980022,0.028805682
94,0.02773626,0.028530316
95,0.02743102,0.028200172
96,0.026866436,0.027652266
97,0.026178734,0.026954645
98,0.02545208,0.026233435
99,0.024758883,0.02553631
