Theta,Pitch,Duty Cycle,Fill Factor,Mode,Lambda,Transmission
8,8.86E-07,0.8,0.6,0,0.00000170000000000000,0.0229793
8,8.86E-07,0.8,0.6,0,0.00000169738000000000,0.0201624
8,8.86E-07,0.8,0.6,0,0.00000169476000000000,0.0175532
8,8.86E-07,0.8,0.6,0,0.00000169215000000000,0.0151345
8,8.86E-07,0.8,0.6,0,0.00000168955000000000,0.0128985
8,8.86E-07,0.8,0.6,0,0.00000168696000000000,0.010844
8,8.86E-07,0.8,0.6,0,0.00000168437000000000,0.00897303
8,8.86E-07,0.8,0.6,0,0.00000168180000000000,0.00728835
8,8.86E-07,0.8,0.6,0,0.00000167923000000000,0.00579146
8,8.86E-07,0.8,0.6,0,0.00000167667000000000,0.0044814
8,8.86E-07,0.8,0.6,0,0.00000167411000000000,0.00335448
8,8.86E-07,0.8,0.6,0,0.00000167157000000000,0.00240462
8,8.86E-07,0.8,0.6,0,0.00000166903000000000,0.00162404
8,8.86E-07,0.8,0.6,0,0.00000166650000000000,0.00100397
8,8.86E-07,0.8,0.6,0,0.00000166398000000000,0.000535121
8,8.86E-07,0.8,0.6,0,0.00000166147000000000,0.000207682
8,8.86E-07,0.8,0.6,0,0.00000165896000000000,1.09E-05
8,8.86E-07,0.8,0.6,0,0.00000165646000000000,-6.79E-05
8,8.86E-07,0.8,0.6,0,0.00000165397000000000,-4.39E-05
8,8.86E-07,0.8,0.6,0,0.00000165148000000000,6.42E-05
8,8.86E-07,0.8,0.6,0,0.00000164901000000000,0.000233876
8,8.86E-07,0.8,0.6,0,0.00000164654000000000,0.000439629
8,8.86E-07,0.8,0.6,0,0.00000164407000000000,0.000654078
8,8.86E-07,0.8,0.6,0,0.00000164162000000000,0.000850138
8,8.86E-07,0.8,0.6,0,0.00000163917000000000,0.00100359
8,8.86E-07,0.8,0.6,0,0.00000163673000000000,0.00109575
8,8.86E-07,0.8,0.6,0,0.00000163430000000000,0.00111573
8,8.86E-07,0.8,0.6,0,0.00000163187000000000,0.00106185
8,8.86E-07,0.8,0.6,0,0.00000162946000000000,0.00094195
8,8.86E-07,0.8,0.6,0,0.00000162704000000000,0.000772232
8,8.86E-07,0.8,0.6,0,0.00000162464000000000,0.000575002
8,8.86E-07,0.8,0.6,0,0.00000162224000000000,0.0003754
8,8.86E-07,0.8,0.6,0,0.00000161985000000000,0.000197711
8,8.86E-07,0.8,0.6,0,0.00000161747000000000,6.18E-05
8,8.86E-07,0.8,0.6,0,0.00000161509000000000,-1.96E-05
8,8.86E-07,0.8,0.6,0,0.00000161272000000000,-4.26E-05
8,8.86E-07,0.8,0.6,0,0.00000161036000000000,-1.25E-05
8,8.86E-07,0.8,0.6,0,0.00000160801000000000,5.78E-05
8,8.86E-07,0.8,0.6,0,0.00000160566000000000,0.000150077
8,8.86E-07,0.8,0.6,0,0.00000160332000000000,0.000244162
8,8.86E-07,0.8,0.6,0,0.00000160098000000000,0.000321206
8,8.86E-07,0.8,0.6,0,0.00000159866000000000,0.000366879
8,8.86E-07,0.8,0.6,0,0.00000159633000000000,0.000373504
8,8.86E-07,0.8,0.6,0,0.00000159402000000000,0.000341009
8,8.86E-07,0.8,0.6,0,0.00000159171000000000,0.000276565
8,8.86E-07,0.8,0.6,0,0.00000158941000000000,0.000193013
8,8.86E-07,0.8,0.6,0,0.00000158712000000000,0.00010642
8,8.86E-07,0.8,0.6,0,0.00000158483000000000,3.32E-05
8,8.86E-07,0.8,0.6,0,0.00000158255000000000,-1.26E-05
8,8.86E-07,0.8,0.6,0,0.00000158027000000000,-2.19E-05
8,8.86E-07,0.8,0.6,0,0.00000157801000000000,8.74E-06
8,8.86E-07,0.8,0.6,0,0.00000157574000000000,7.59E-05
8,8.86E-07,0.8,0.6,0,0.00000157349000000000,0.00017066
8,8.86E-07,0.8,0.6,0,0.00000157124000000000,0.000279937
8,8.86E-07,0.8,0.6,0,0.00000156900000000000,0.000388735
8,8.86E-07,0.8,0.6,0,0.00000156676000000000,0.000482532
8,8.86E-07,0.8,0.6,0,0.00000156453000000000,0.000549521
